,2022/08/19,2022/08/31,2022/09/30,2022/10/31,2022/11/30,2022/12/31,2023/01/31,2023/02/28,2023/03/31,2023/04/30,2023/05/31,2023/06/30,2023/07/31,2023/08/31,2023/09/30,2023/10/31,2023/11/30,2023/12/31,2024/01/31,2024/02/29,2024/03/31,2024/04/30,2024/05/31,2024/06/30,2024/07/31,2024/08/31,2024/09/30,2024/10/31,2024/11/30,2024/12/31,2025/01/31,2025/02/28,2025/03/31,2025/04/30,2025/05/31,2025/06/30,2025/07/31,2025/08/31,2025/09/30,2025/10/31,2025/11/30,2025/12/31,2026/01/31,2026/02/28,2026/03/31,2026/04/30,2026/05/31,2026/06/30,2026/07/31,2026/08/31,2026/09/30,2026/10/31,2026/11/30,2026/12/31
xpla1vnzz7xyqjaayljtdrug845tdlw33k2pnh47k4e,"747,249,890","747,249,890","747,249,890","720,857,890","750,953,364","744,180,393","742,680,393","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613","742,242,613"
xpla1j0rc0uraryz205ulycxv7t8a05q35rvpncz3jw,"60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000"
xpla1e8xzemhx36xp7qu2gtllgpcde2z8y498j2zyrk,"300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1qxfrqlf8tpz532w0t5gz76ud4qg398xrr29r65,"300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000"
xpla1vdqljayz7rm04xj9p4du2cgmf3jzfsa0ka9f7l,"53,137,610","53,137,610","53,137,610","52,932,610","52,732,610","52,732,610","52,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610","49,732,610"
xpla1vrget09sfejz8l8q0jwucva7pl93at9x5hp8qg,"300,000,000","300,000,000","300,000,000","300,000,000","300,000,000","300,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1mfe4yrwkyarsrvncnhw9unfqkjzwcyrj9dt72u,"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000","40,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla10ksn9528f82uwnmz3sgr4n42l0nucmzntjrg00,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000"
xpla19dacf8gzsvuj9txzw0wmtfpdg8swpd4jxl3ks2,"60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","60,000,000","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850","59,999,850"
xpla15nczwuqh0zcu6syeqsc4td6dphql7n2p7cgkl9raz97z5s3zdjrs0t3sta,0,0,0,"10,002,092","9,723,963","10,436,562","10,149,162","9,889,574","9,602,173","9,324,044","9,036,643","8,758,514","8,471,113","8,183,713","7,905,583","7,618,183","7,340,053","7,045,778","6,745,655","6,464,895","6,164,773","5,874,331","5,574,208","5,283,767","4,983,644","4,683,521","4,393,080","4,092,957","3,802,515","3,470,269","3,110,694","2,785,917","2,426,342","2,078,366","1,718,791","1,370,816","1,011,241","693,932","455,227","302,023","232,177","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000","199,000"
xpla1nphwrdqm9ky03c2eccmccrd3atg5usw9ltjn08he850xthxp7c0stg7tpc,0,0,0,0,0,"152,000","132,115","120,455","107,545","95,052","82,142","69,649","56,740","43,830","31,337","18,427","5,934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1upd858fjdlme0wv4vd2v7c4majyr9dg53rl72dzfhds9zusmn9mq80m5p7,0,0,0,0,0,"152,000","132,115","120,455","107,545","95,052","82,142","69,649","56,740","43,830","31,337","18,427","5,934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1xwtrcm6huapy90mlckfhd4vw73x5j6wrzut9afhpmrhnkcy20dus02kf7n,0,0,0,0,0,"120,600","104,823","95,571","85,329","75,416","65,174","55,261","45,018","34,776","24,863","14,621","4,708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla126402sucs3zwreams5adstmvlnzytuegcy2e2dav0g94e990803qudxw78,0,0,0,0,0,"120,371","104,624","95,390","85,166","75,273","65,050","55,156","44,933","34,709","24,816","14,593","4,699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla18nd704wpeagscgg0qg5t9f7nxvdlm87j9255gzcmc73kr59xyd7qh8p9jr,0,0,0,0,0,"228,000","198,173","180,682","161,318","142,578","123,214","104,474","85,110","65,745","47,005","27,641","8,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1mjx673u8jq6lmc3xqa2a86hjshnjt29znza62rwcz0hnmcr55qqqx0saff,0,0,0,0,0,0,"1,500,000","1,940,000","1,900,000","1,860,000","1,820,000","1,780,000","1,740,000","1,700,000","1,660,000","1,620,000","1,580,000","1,540,000","1,500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1jnxy3fdr3l8ck2uw0dnvnfy7mdlgxy2vgunv9k9584ajsjkf0qcszfpfug,0,0,0,0,0,0,"270,000,000","270,000,000","270,000,000","240,000,000","240,000,000","240,000,000","210,000,000","210,000,000","180,000,000","180,000,000","180,000,000","160,000,000","160,000,000","160,000,000","140,000,000","140,000,000","140,000,000","120,000,000","120,000,000","120,000,000","100,000,000","100,000,000","100,000,000","85,000,000","85,000,000","85,000,000","70,000,000","70,000,000","70,000,000","55,000,000","55,000,000","55,000,000","40,000,000","40,000,000","40,000,000","30,000,000","30,000,000","30,000,000","20,000,000","20,000,000","20,000,000","10,000,000","10,000,000","10,000,000",0,0,0,0
xpla1asvgm5x6dm2k2m59pu6t750l0eqswddh8pjulqwe3kvk25tz9g4q640zex,0,0,0,0,0,0,"287,500,000","275,000,000","262,500,000","250,000,000","237,500,000","225,000,000","212,500,000","200,000,000","175,000,000","162,500,000","150,000,000","137,500,000","125,000,000","112,500,000","100,000,000","87,500,000","75,000,000","62,500,000","50,000,000","37,500,000","25,000,000","12,500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla19fr3z4g04344aelwdjxl7vk73a6hec6tpz2m2x90d9ft2ra5sw7qrkmrap,0,0,0,0,0,0,"37,125,000","35,000,000","35,000,000","32,125,000","30,000,000","30,000,000","27,125,000","25,000,000","25,000,000","22,125,000","20,000,000","20,000,000","17,125,000","17,875,000","15,000,000","12,125,000","10,000,000","10,000,000","7,125,000","5,000,000","5,000,000","2,125,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1tddsuf25rrjgl9ty9lazhxe38q66uva7eqak3qz2c8e4yk0gj0yqj23r94,0,0,0,0,0,0,"100,000,000","100,000,000","87,500,000","87,500,000","87,500,000","75,000,000","75,000,000","75,000,000","62,500,000","62,500,000","62,500,000","50,000,000","50,000,000","50,000,000","37,500,000","37,500,000","37,500,000","25,000,000","25,000,000","25,000,000","12,500,000","12,500,000","12,500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpla1pplj0vzv57xh64ydh5pkfpv6s0hyj3jxugdlezrl5j64wcyt9yyq2zkens,0,0,0,0,0,0,0,"19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000","19,600,000"
xpla1gcs4amt2aztnj5xrpprja050jg97ywsc90xh4ylvr6w2zj2f0v9q0vxwuy,0,0,0,0,0,0,0,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000"