,2022/01/31,2022/02/28,2022/03/31,2022/04/30,2022/05/31,2022/06/30,2022/07/31,2022/08/31,2022/09/30,2022/10/31,2022/11/30,2022/12/31,2023/01/31,2023/02/28,2023/03/31,2023/04/30,2023/05/31,2023/06/30,2023/07/31,2023/08/31,2023/09/30,2023/10/31,2023/11/30,2023/12/31,2024/01/31,2024/02/29,2024/03/31,2024/04/30,2024/05/31,2024/06/30,2024/07/31,2024/08/31,2024/09/30,2024/10/31,2024/11/30,2024/12/31
0x0cc5229b8084a83ebdd09debcb3f70a2f8f304d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xa7a7a59cc4b9b2ec6cd125326f03084e355180e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2bb5e0040e4706ee25376106802da428e6b2241a,0,0,0,0,0,"92,144,951","92,144,951","92,144,951","92,144,951","92,144,951","64,544,951","64,544,951","58,690,401","52,835,856","46,981,311","41,126,766","35,272,221","29,417,676","23,563,131","17,708,586","11,854,041","5,999,496","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951"
0xf39ecc1dcb51aa77fa09a8ce0d75d00acbb12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0b7da3649ede697993c847c8169700bd911ebd57,"309,946,564","309,946,564","309,946,564","309,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","55,446,564","50,946,564","46,446,564","41,946,564","37,446,564","32,946,564","28,446,564","23,946,564","19,446,564","14,946,564","10,446,564","5,946,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564"
0x3ec2d93aaff889df556cdcbef4b916e256f8f670,0,0,0,0,"1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000"
0x3c2bcee93ad378e5f12fa4170d9d8a0707831d69,"628,789,292","624,512,455","625,170,288","634,607,720","93,429,319","92,162,995","91,156,802","92,210,878","91,780,825","91,176,532","89,995,887","87,995,887","87,995,887","85,995,887","83,995,887","81,995,887","79,995,887","77,995,887","75,995,887","73,995,887","71,995,887","69,995,887","67,995,887","65,995,887","63,995,887","61,995,887","60,095,887","56,095,887","52,095,887","48,095,887","44,095,887","40,095,887","36,095,887","32,095,887","28,095,887","24,095,887"
0x757f1b9f8a9b7135606739692501311166cd3d4c,"188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","184,616,271","180,616,271","176,616,271","172,616,271","168,616,271","164,616,271","160,616,271","156,616,271","152,616,271"
0xfb357bd25aed9a0712e7a68f06c0daf409ab5fcc,"102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000"
0x6c8db4fef09fe9ab0238f13419e503c78e421492,"81,656,383","82,514,555","83,277,533","83,793,713","84,638,574","85,435,089","86,439,591","87,420,715","88,320,180","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879"
0x1ef38956b972dd99293355831c001fa252c120bd,"59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392"
0xf9b6a8f87cb714eec6ae58d217a0152e5b743491,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","17,000,000","16,000,000","15,000,000","14,000,000","13,000,000","12,000,000","11,000,000","10,000,000","9,000,000","8,000,000","7,000,000","6,000,000","5,000,000","4,000,000","3,000,000","2,000,000","1,000,000",0,0,0,0,0,0,0,0,0,0,0
0xd7bc6f58d159023ee85e977e1e9ed1a56b819eaf,"5,000,000","5,000,000","3,000,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000",0,0,0,0,0,0,0,0,0,0
0xd03aa6504f76363bd8c9841ce238708dd7707b12,"50,000,000","50,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","17,000,000","16,000,000","15,000,000","14,000,000","13,000,000","12,000,000","11,000,000","10,000,000","9,000,000","8,000,000","7,000,000","6,000,000","5,000,000","4,000,000","3,000,000","2,000,000","1,000,000",0,0,0,0,0,0,0,0,0,0,0
0x3329fb1c5cffcfb1bb2d504a0b073a6d23552be0,0,0,"4,000,000",0,"9,756,985","6,065,516","3,819,324","2,819,324","1,819,324","819,324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x63e4ff09015df2c9f4a51999f0d17d37229a3477,0,0,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","2,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x08d6c055cfcc9fdef03a9dd83762518c649c8330,0,0,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","4,000,000","2,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x75371f097020da5dc165d5d129f621179efec732,0,0,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xc7f81218840ed4dcba0111a7363ac2a7277e6d23,"9,113,069","8,684,200","8,302,695","8,044,640","7,622,543","7,223,773","6,721,518","6,231,455","5,781,517","5,641,249","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218","5,641,218"
0xf366f718add52e0710e8e3c67365a6d4f51d43ec,"7,039,364","6,609,695","6,227,843","5,969,789","5,547,297","5,148,799","4,646,710","4,156,516","3,707,019","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754","3,566,754"
0x7252c3f7e1f90c0b31ccb5214be2044fd15478dc,"700,000,000","700,000,000","700,000,000","700,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xd5ab114a753b7d2cddfbcd0554696687effb98c3,"42,899,588","42,647,626","42,361,152","42,198,005","42,198,005","42,198,005","42,198,005","42,198,005","42,198,005","42,198,005","42,198,005","42,198,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","41,798,005","40,798,005","38,798,005"
0x64d3505650bb43c80bc89cecb7bfa7f70e098f86,"42,924,847","42,672,885","42,386,411","42,223,264","41,728,700","41,252,338","40,760,249","40,065,306","39,416,927","38,615,194","37,615,194","36,615,194","36,015,194","35,015,194","33,515,194","32,015,194","30,515,194","29,015,194","27,515,194","26,015,194","24,515,194","23,015,194","21,515,194","20,015,194","18,515,194","17,015,194","15,515,194","13,515,194","11,515,194","9,515,194","7,515,194","5,515,194","3,515,194","1,515,194","515,194","515,194"
0xaf6a500f71b98ef92946efa59a22af966192237a,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
0xee9f544332a78a3293a57b0fae4a4ceb96472ae2,"2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146","2,040,146"
0x073478b384012fab706d4a37f04e2513b98f6cdb,"22,400,416","22,400,416","22,400,416","22,400,416","22,400,416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x11039457bdd3341a226d07ca2d463b98e92f7aa3,"69,744,535","69,744,535","69,744,535","69,744,535","69,744,535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x33901462c6109907b5334741b5035997535407ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x45746a5f47e3dbb73e225e96eecf6c8fb6bd5e5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x82d767471cf579a94c823f70c721fab206701b74,"25,800,000","25,800,000","17,800,000","7,800,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xb06ae789b75321c248ce548ebb3fd4b5ab504c71,0,0,"10,000,000","10,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x34761a67422dd85abdb05e097b934aadeb07f981,0,0,"6,000,000","6,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xa2a5bf7a2ef98298a58120ede8ec29fd2a4928fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0