timestamp,X30,XMN,XKC,XDEFI,XNFT,XGM
2022-12-16 11:30:00+09:00,427.160174946,722.2883574118,294.791870258,103.7260117942,310.7204496271,207.4505115446
2022-12-16 12:30:00+09:00,427.6209357978,723.2025674198,294.8870881564,103.9023767549,310.6414806445,207.2266210997
2022-12-16 13:30:00+09:00,427.3381573744,722.221177833,294.9838673657,103.8293389537,310.3352100324,207.0069094323
2022-12-16 14:30:00+09:00,426.850926283,721.2756165373,295.033797321,103.6422516535,309.7839020353,206.5656159897
2022-12-16 15:30:00+09:00,426.7637417184,720.5289582452,294.559960359,103.5694296716,309.2783004735,206.2351378943
2022-12-16 16:30:00+09:00,428.8419487922,725.2073300486,295.8522178551,104.1417158346,311.2304839912,207.4246617058
2022-12-16 17:30:00+09:00,428.9569518918,724.769265601,295.8981787825,104.1088348242,311.3822512063,207.494999136
2022-12-16 18:30:00+09:00,414.1342579775,697.4600904846,288.5673323719,100.0514160129,297.6548099819,198.2176735907
2022-12-16 19:30:00+09:00,412.5565972349,694.3590581743,286.3539496267,99.2062299684,296.6811574124,197.6881062117
2022-12-16 20:30:00+09:00,412.8812978771,694.2408591896,286.3365880111,99.3411453272,297.3406523794,198.0784736782
2022-12-16 21:30:00+09:00,412.8587004036,693.7709312463,286.2650223225,99.6300441509,297.5262519281,198.1423184195
2022-12-16 22:30:00+09:00,412.532811173,693.456426353,286.2540080606,99.5070301567,297.1393824212,197.9134292355
2022-12-16 23:30:00+09:00,411.447719012,690.1039577152,285.1353096944,98.9580068332,295.1424801755,196.8744923968
2022-12-17 00:30:00+09:00,410.8283288496,688.6930727658,284.8016876055,98.8952387998,294.4954500159,196.7418707977
2022-12-17 01:30:00+09:00,406.4542301877,679.1567999902,283.1065404763,97.6670626064,290.3733485992,194.4732035209
2022-12-17 02:30:00+09:00,405.955742181,680.052362769,282.9811305262,97.6211614253,290.8285061187,195.0845279781
2022-12-17 03:30:00+09:00,406.4124372778,680.7985604421,283.4412029155,97.313308703,291.0809616774,195.0272639628
2022-12-17 04:30:00+09:00,406.1857859858,679.8128995907,283.106721754,97.3433727769,290.5421729335,194.8792160182
2022-12-17 05:30:00+09:00,409.4885630029,686.0946965557,284.3111644548,98.0525478552,292.7658345403,196.4551747889
2022-12-17 06:30:00+09:00,408.0688965889,683.0400960877,283.948135238,97.7413829773,291.4106316087,195.6732834512
2022-12-17 07:30:00+09:00,406.3342841019,677.9304426645,283.0607540894,97.2287228136,289.650285792,194.4401114325
2022-12-17 08:30:00+09:00,393.6092135619,649.3904923856,273.3739468635,92.7649644765,269.2592886264,180.2934442833
2022-12-17 09:30:00+09:00,397.0937411212,655.6674143115,272.8907734712,93.6703353969,271.8536099456,182.0101587917
2022-12-17 10:30:00+09:00,396.0994739903,652.685198678,271.3521530024,93.3026325901,269.8701944741,180.8095301067
2022-12-17 11:30:00+09:00,391.1908432579,639.8741612307,264.1447293291,91.6400658931,259.9847406373,175.6339786874
2022-12-17 12:30:00+09:00,395.0867715454,649.343817404,265.0312555998,93.1817548958,265.992730694,178.976888236
2022-12-17 13:30:00+09:00,396.0977105968,651.3810383524,264.66634088,93.4651041717,267.5508499451,179.9695874202
2022-12-17 14:30:00+09:00,397.2987830993,653.5937441397,265.7802198963,93.8873563395,268.9592546497,181.0051637557
2022-12-17 15:30:00+09:00,395.5870843162,650.2557003668,264.7917151577,93.3178913713,267.5770397243,179.9087370054
2022-12-17 16:30:00+09:00,397.213843951,654.1241219543,265.7505717864,93.9417777499,269.0035827331,180.7783555504
2022-12-17 17:30:00+09:00,399.0297182569,659.2083109398,267.5390132639,94.5121656719,270.9295080704,181.9826580253
2022-12-17 18:30:00+09:00,398.607773767,659.0467192249,267.0992474904,94.510800066,270.6901810823,181.9182603678
2022-12-17 19:30:00+09:00,398.3865908954,659.2942233957,266.1501099406,94.5141916673,271.1326911414,182.0665885397
2022-12-17 20:30:00+09:00,399.2381958774,661.2251054119,266.1235175764,94.6684677681,271.2102596358,181.9133474413
2022-12-17 21:30:00+09:00,398.9410424349,660.8339074615,265.381968697,94.4453006739,271.6283127741,181.9347321387
2022-12-17 22:30:00+09:00,398.1423295456,659.3084448079,264.4547949774,94.0041049207,270.3404710114,180.9882558102
2022-12-17 23:30:00+09:00,398.6377517348,660.4521970905,264.2272691663,94.096812874,269.8417550149,180.8916642662
2022-12-18 00:30:00+09:00,398.0160464658,658.8902930297,264.2351596252,93.9039968167,268.9030135159,180.4225825534
2022-12-18 01:30:00+09:00,397.7973442969,657.5825073805,263.94272592,93.9913486958,268.9388714267,180.5819210264
2022-12-18 02:30:00+09:00,397.1294181819,656.5586305799,263.6844977075,93.6080352146,268.2511192762,180.1316193565
2022-12-18 03:30:00+09:00,397.8376932554,658.0089514655,264.0019386521,93.7576553759,268.8347612483,180.5305550078
2022-12-18 04:30:00+09:00,397.5402337145,657.1592008783,263.986366658,93.537817537,267.8818692126,179.7609377186
2022-12-18 05:30:00+09:00,397.5365270627,657.0616943716,264.0545713184,93.5137145775,267.9826994331,179.7707810269
2022-12-18 06:30:00+09:00,398.091605879,658.0705335319,264.0409511208,93.5913134627,268.6056981846,180.0681869744
2022-12-18 07:30:00+09:00,398.0935282316,658.6515827111,264.6302148964,93.6155787469,269.1026349929,180.2508199708
2022-12-18 08:30:00+09:00,400.9945924732,664.767403976,266.1638908671,94.7309529778,273.9055888427,182.6781060229
2022-12-18 09:30:00+09:00,400.8402028464,665.5256321818,266.3545799237,94.4916208191,273.0857034975,181.9968921922
2022-12-18 10:30:00+09:00,400.103482279,664.3494510292,266.5035310877,94.320395769,271.5948142512,181.1509928323
2022-12-18 11:30:00+09:00,400.9158514734,665.2726715978,265.8908596785,94.3245091949,271.7206571964,181.2235967904
2022-12-18 12:30:00+09:00,401.2095839947,666.2956858088,265.8180358719,94.4731144279,272.1948835195,181.4643313964
2022-12-18 13:30:00+09:00,403.997189774,673.1683960391,267.230062413,95.2401531637,273.6900201679,182.3735156145
2022-12-18 14:30:00+09:00,403.6348999802,672.280644751,267.6340793978,95.1791137481,272.8184550482,182.0542868436
2022-12-18 15:30:00+09:00,402.4786618062,669.409701223,267.0440000278,94.8533054114,271.3317578115,181.2904525329
2022-12-18 16:30:00+09:00,402.562336603,669.2384412954,267.1470184094,94.7378115634,270.9656335668,181.1768094686
2022-12-18 17:30:00+09:00,402.5710533684,669.2943335141,266.96019448,94.6866234947,271.0036846425,181.0666218144
2022-12-18 18:30:00+09:00,401.1275789995,666.4025974449,266.114855516,94.5005171572,270.4901753193,180.5397376923
2022-12-18 19:30:00+09:00,400.7450207412,666.1761108006,265.5020660334,94.152997734,269.8822659279,179.5307331496
2022-12-18 20:30:00+09:00,401.215610203,667.1523370755,265.981960837,94.2702304689,270.399908771,180.0650827641
2022-12-18 21:30:00+09:00,401.4380542891,667.4292380792,266.4346931321,94.4914394062,271.8243300202,181.5416816669
2022-12-18 22:30:00+09:00,401.6088271893,667.2552362614,266.5178915442,94.6075266652,272.8924134406,182.5253216891
2022-12-18 23:30:00+09:00,400.4995377168,665.250478022,265.7964098953,94.2230583342,270.7308646731,180.9566455701
2022-12-19 00:30:00+09:00,400.1837101571,664.5340137808,265.8029410158,94.0272798532,269.4397672369,179.7320741285
2022-12-19 01:30:00+09:00,400.0210061546,664.0816417152,265.8454788145,93.9528435566,269.4257047171,179.5123694631
2022-12-19 02:30:00+09:00,400.11548628,665.0549139564,265.8626765483,93.9387822921,269.7206581455,179.6047927976
2022-12-19 03:30:00+09:00,402.3812572954,669.2153899668,267.3080432089,94.4844702166,271.2445713259,180.7488742876
2022-12-19 04:30:00+09:00,401.9116974927,669.3297339061,266.5860375727,94.4904234346,270.7143776253,180.5638556641
2022-12-19 05:30:00+09:00,402.746275399,671.2656277637,267.1189689689,94.7405165415,272.1464587285,181.5317557585
2022-12-19 06:30:00+09:00,401.9436382359,669.1249130918,265.3403137259,94.3794287962,270.9693231544,180.5998154958
2022-12-19 07:30:00+09:00,402.7220963849,670.599203918,266.0866378708,94.5256733178,270.8599774806,180.545735829
2022-12-19 08:30:00+09:00,404.5012536838,674.8910949663,266.7587579094,94.9659495957,272.4990736726,181.6472884937
2022-12-19 09:30:00+09:00,404.0204025722,673.4877709721,266.9473331071,95.0167236638,272.5090615029,181.5310474854
2022-12-19 10:30:00+09:00,404.6572211773,675.1042806665,267.0851948869,95.5007593897,274.034104801,182.8271496583
2022-12-19 11:30:00+09:00,403.7624648021,672.9703869367,266.4096106528,95.1341401131,272.7433490781,181.9403168413
2022-12-19 12:30:00+09:00,400.6450302864,667.5898022223,265.4120366053,94.0831583786,269.2167052573,179.4298927196
2022-12-19 13:30:00+09:00,400.524483726,666.3961485824,265.3859613081,93.8506276259,267.5548157773,177.9548770743
2022-12-19 14:30:00+09:00,399.9727146406,666.1286003029,266.6345471121,93.8657714781,267.5856448524,178.0516211434
2022-12-19 15:30:00+09:00,399.4533495069,664.8340671046,266.0481221759,93.6781101009,267.2540442203,177.9193755186
2022-12-19 16:30:00+09:00,400.1497124917,665.5134724233,265.5471460355,93.8101908188,268.0656021571,178.3974747825
2022-12-19 17:30:00+09:00,400.246465197,665.2514054535,266.3297605729,94.1066019857,269.2472485633,179.2192405075
2022-12-19 18:30:00+09:00,400.6802475605,666.1275304405,266.5391632129,94.3860552366,271.298110242,180.6436769538
2022-12-19 19:30:00+09:00,401.625424767,668.00775025,266.6050160389,94.8778592002,272.2324574784,181.3039106325
2022-12-19 20:30:00+09:00,400.6359759697,666.2514266753,266.2475299905,94.7070216576,271.7561060651,180.5882831882
2022-12-19 21:30:00+09:00,400.4710459365,666.1952413103,266.2114508132,94.5769300222,271.1875017345,180.37544572
2022-12-19 22:30:00+09:00,400.6393960366,667.0297859676,266.0774525721,94.7135570271,271.1537512363,180.2580047111
2022-12-19 23:30:00+09:00,399.7597527955,665.6759978741,265.4731563713,94.0093022906,270.418444744,179.8488247477
2022-12-20 00:30:00+09:00,400.5711169348,667.3137494445,266.058145464,94.1912812434,271.2806626014,180.6413054466
2022-12-20 01:30:00+09:00,397.3794401981,660.8968744753,264.52361748,93.2057192033,267.3850850991,177.779694637
2022-12-20 02:30:00+09:00,395.9247363791,658.2087577725,263.7107128873,92.3735011774,266.8124324068,177.3013371262
2022-12-20 03:30:00+09:00,395.9089782245,657.8146253228,263.5456730747,92.2039026758,267.0138627238,177.3714977615
2022-12-20 04:30:00+09:00,393.0929730888,652.8172505528,261.4939834448,91.3158743921,263.4392110552,174.9427938493
2022-12-20 05:30:00+09:00,393.9874249749,654.7117660947,260.5872788286,91.4061082492,263.842335843,175.2285676289
2022-12-20 06:30:00+09:00,395.60079936,657.9397109684,260.6877519795,91.6664861579,264.5848473236,175.5561618657
2022-12-20 07:30:00+09:00,393.7840048529,653.9758063426,258.3977748789,91.0446929792,261.6143083827,173.0126697213
2022-12-20 08:30:00+09:00,390.4952364576,648.9933631081,254.9425737325,90.2402121794,256.5317023539,169.9355675718
2022-12-20 09:30:00+09:00,392.5455316317,652.8574127337,256.2966874019,90.8487662444,259.5079887991,171.735818966
2022-12-20 10:30:00+09:00,393.6077761052,655.3331593647,257.478083456,91.1714314438,261.2615739092,172.6836004082
2022-12-20 11:30:00+09:00,395.6624519063,658.5579392552,258.9615260864,91.9625676005,264.2440614402,174.1628426993
2022-12-20 12:30:00+09:00,398.103864699,662.2869606955,258.4278911365,92.4729564978,265.5867974138,175.427312068
2022-12-20 13:30:00+09:00,399.1339157853,664.3188649261,259.0384532863,92.836827312,267.0819652049,176.5700383238
2022-12-20 14:30:00+09:00,401.3393982251,668.4993576999,260.2108643749,93.524512745,267.857088167,177.4140190583
2022-12-20 15:30:00+09:00,401.6088913203,668.926621283,260.7461070188,93.5514184387,268.0559951871,177.1972560725
2022-12-20 16:30:00+09:00,401.8103416207,669.1930071944,262.0422687469,93.7783166839,268.8634339298,177.7750770866
2022-12-20 17:30:00+09:00,401.2327709244,668.4122870726,262.0411416817,93.7465772452,268.7789114305,177.793390508
2022-12-20 18:30:00+09:00,402.0898442829,669.3538637807,262.8315819036,93.8713920811,269.0240394864,177.8904903077
2022-12-20 19:30:00+09:00,402.1296575456,669.5367613193,263.2039492044,93.9303284543,269.2072483914,177.6933816137
2022-12-20 20:30:00+09:00,402.8911613724,671.6190934841,263.4722030847,94.2234424959,270.0868744763,178.2681850468
2022-12-20 21:30:00+09:00,402.9797900718,671.9399458444,264.0909288036,94.1268633786,270.4485610239,178.2563875566
2022-12-20 22:30:00+09:00,402.6013114916,671.3261878329,265.0137275447,94.1103233869,269.7417624956,177.6558160359
2022-12-20 23:30:00+09:00,401.5107463103,669.2853092805,264.5023204494,93.7115361337,267.6185640437,176.624765568
2022-12-21 00:30:00+09:00,405.1971784997,674.7407062977,266.7898971051,94.5932397848,270.6516889959,178.9710038692
2022-12-21 01:30:00+09:00,402.8301292598,670.7827969173,265.7347895618,93.8089678601,268.9099121417,177.9339515077
2022-12-21 02:30:00+09:00,402.691553015,670.2329787905,265.3564400832,93.6715673825,269.1179501143,178.1572547958
2022-12-21 03:30:00+09:00,402.0682833977,669.1574937866,265.2237932149,93.5714821664,268.714833574,178.0054004716
2022-12-21 04:30:00+09:00,403.6250398284,671.6912853566,265.6666526203,94.0148730075,270.2601283555,178.9827996767
2022-12-21 05:30:00+09:00,404.6614680677,673.4558328719,266.2692712373,94.2119214082,270.6863925866,179.2612714661
2022-12-21 06:30:00+09:00,403.2042633791,670.9461573653,265.8051343611,93.8972928373,269.4891170123,178.5866976354
2022-12-21 07:30:00+09:00,404.0128307393,672.4608048231,266.2701490897,94.0815581218,270.158778037,179.03969865
2022-12-21 08:30:00+09:00,405.3801966759,675.2038584103,266.9337476343,94.4072527748,271.7519882397,180.0249568104
2022-12-21 09:30:00+09:00,404.1275623831,672.7250988171,266.5175476766,94.0230869693,270.0646563051,178.843885696
2022-12-21 10:30:00+09:00,403.2780129472,670.8594110503,266.6773678772,93.8407355053,268.8646288396,178.0224953825
2022-12-21 11:30:00+09:00,402.7951949676,670.0744010087,266.3470338924,93.500278857,268.173175118,177.3681430289
2022-12-21 12:30:00+09:00,401.6119891986,667.5748313272,265.7284313551,93.1095069975,266.9320147777,176.5036643834
2022-12-21 13:30:00+09:00,400.399221907,665.343731112,265.0001048293,92.9234943724,266.1649450298,176.0051865934
2022-12-21 14:30:00+09:00,400.6256416334,665.2024206777,264.1913970717,92.9633919658,267.0270011048,175.9446861068
2022-12-21 15:30:00+09:00,401.591265751,667.014146558,265.2675179513,93.3973703329,267.8595815612,176.4276727959
2022-12-21 16:30:00+09:00,401.4345935483,666.9928421093,267.0813824003,93.463052141,268.089576775,176.5984743297
2022-12-21 17:30:00+09:00,400.4703890919,664.7461061956,265.9714320308,93.1019885898,267.0845994426,175.8451358125
2022-12-21 18:30:00+09:00,402.6654654926,668.6930291025,267.4797593404,93.7918937732,269.1203603171,177.5194469309
2022-12-21 19:30:00+09:00,403.0546379616,669.8713175808,270.172565505,93.9038882052,269.1772834386,177.3555736545
2022-12-21 20:30:00+09:00,402.8021019814,669.07140104,268.1835958056,93.7278293002,268.923325852,177.18802998
2022-12-21 21:30:00+09:00,402.3984665591,668.3522281761,268.3866418169,93.8679075941,268.3529992031,176.8020324463
2022-12-21 22:30:00+09:00,402.2607422952,667.9254437712,268.156750821,93.913272742,268.1628968662,176.9308997693
2022-12-21 23:30:00+09:00,402.4898470908,667.9379199826,266.6504693261,93.8338692377,267.9279308841,176.8437356166
2022-12-22 00:30:00+09:00,401.8485375575,666.6374093636,265.6617088793,93.667450659,267.6144116468,176.6581078268
2022-12-22 01:30:00+09:00,402.0732201437,667.036746773,266.4087433741,93.939705901,267.6914502667,176.6194931277
2022-12-22 02:30:00+09:00,400.9759145928,665.197615161,265.8142317676,93.4827925918,267.4019625412,175.9099664782
2022-12-22 03:30:00+09:00,401.1379209299,665.524372046,265.6307879623,93.406860512,266.5021608989,175.5271886391
2022-12-22 04:30:00+09:00,401.0252868077,665.4851858188,265.1689468744,93.315978717,266.0030732503,175.0957824505
2022-12-22 05:30:00+09:00,400.2833892129,663.4031794464,264.9025828838,92.9894281503,265.12351215,174.2805261281
2022-12-22 06:30:00+09:00,401.0212874783,664.6235914307,265.353149036,93.0218416284,265.6490953785,174.6123260665
2022-12-22 07:30:00+09:00,400.8597173276,664.0437440734,265.5635275997,92.8446139585,266.3975493633,175.1306825342
2022-12-22 08:30:00+09:00,401.271639466,665.0429079715,265.7647041325,93.1823278091,267.1646924828,175.7376610985
2022-12-22 09:30:00+09:00,401.6982833128,665.6402099968,266.6135808127,93.3889022925,267.6117538012,175.994520388
2022-12-22 10:30:00+09:00,402.5050825362,667.4566450489,267.1563626706,93.9469778013,268.8728651687,177.2621871612
2022-12-22 11:30:00+09:00,401.7620177911,665.880293451,267.1691643227,93.6551596517,268.6841056492,177.2324232381
2022-12-22 12:30:00+09:00,402.3838689052,667.0150193268,266.5191242474,93.8080762268,269.5579722017,177.3097220828
2022-12-22 13:30:00+09:00,402.3504089169,666.9494793633,266.3045738956,93.6925759563,269.8398205929,177.0211979779
2022-12-22 14:30:00+09:00,401.7114772495,665.5298699382,266.137122733,93.474498637,268.9404111466,176.3205087439
2022-12-22 15:30:00+09:00,401.3727415919,664.7434723092,265.5117727893,93.2313724637,268.0207096342,175.8172700904
2022-12-22 16:30:00+09:00,401.2233403627,663.7099401328,264.756341994,92.9621397562,267.6015961094,175.1639791165
2022-12-22 17:30:00+09:00,402.0999411194,665.6209279677,264.3758284255,93.1341054687,268.8887155901,176.369788986
2022-12-22 18:30:00+09:00,402.1833542024,665.6243822074,264.974958828,93.2970035217,271.5438545467,178.4972618878
2022-12-22 19:30:00+09:00,402.818508606,666.9414591669,265.0972581995,93.4824500492,271.3581114007,178.2535431971
2022-12-22 20:30:00+09:00,401.7906949481,664.9176043449,264.6072255019,93.0829068305,270.1442767665,177.4680712544
2022-12-22 21:30:00+09:00,402.7681838195,666.1161741165,266.7092922555,93.3610189723,270.396125171,177.5119238493
2022-12-22 22:30:00+09:00,402.0164521574,664.4668446969,264.465742407,93.0628007667,270.2931435861,177.5771176596
2022-12-22 23:30:00+09:00,400.3180951885,661.293147207,263.7252632072,92.4044477815,268.1630044853,176.2772800173
2022-12-23 00:30:00+09:00,396.6914671625,654.0802204339,261.1126191734,91.3365663994,265.4351134272,174.3781199814
2022-12-23 01:30:00+09:00,396.3029445758,654.3355997223,261.4611760792,91.2441025028,264.764512939,174.0990012096
2022-12-23 02:30:00+09:00,396.0944452168,654.3243703391,261.1819109893,91.2584456524,263.8907911773,173.5662136611
2022-12-23 03:30:00+09:00,395.6302975422,653.7565024183,260.9595617229,91.0798220064,263.0301453511,173.2595146699
2022-12-23 04:30:00+09:00,396.330262917,655.0049608994,260.9505428699,91.1975957264,263.7801667575,173.7499163691
2022-12-23 05:30:00+09:00,402.5553280524,667.3462457887,263.0590670511,92.6951467142,268.3909402385,176.8946145587
2022-12-23 06:30:00+09:00,401.9610846343,665.6644769553,263.6256155121,92.6380371761,268.4659732201,177.1933719157
2022-12-23 07:30:00+09:00,402.6325027117,667.5597461946,263.6129139872,93.1163441154,269.5560933582,178.0828420207
2022-12-23 08:30:00+09:00,402.5546470023,666.7534255018,263.5050364404,93.2648077186,269.7763284279,178.0769181523
2022-12-23 09:30:00+09:00,402.8921861622,667.4559675226,263.4168240231,93.4580272557,270.0760208566,178.5093795296
2022-12-23 10:30:00+09:00,402.4530363328,666.6801557398,263.2764167737,93.3562997911,269.3150596991,177.849488181
2022-12-23 11:22:00+09:00,402.8439082602,668.8319338653,262.4166691704,93.5328033975,270.2040992586,178.1516898998
