timestamp,XDEX,XGM,XLB
2022-12-18 19:15:00+09:00,200.3350531462,179.3858157525,130.6931865927
2022-12-18 20:15:00+09:00,200.5438758706,179.7711490592,130.9125783547
2022-12-18 21:15:00+09:00,201.0255812453,181.3643782423,131.3962590502
2022-12-18 22:15:00+09:00,201.1245781483,182.7575500587,131.4842529502
2022-12-18 23:15:00+09:00,200.698076691,181.0123151048,131.1237784649
2022-12-19 00:15:00+09:00,200.0900047666,179.3821124998,130.7134700179
2022-12-19 01:15:00+09:00,199.8455081406,179.6012277121,130.5611982453
2022-12-19 02:15:00+09:00,199.8933481292,179.5119109381,130.5952782417
2022-12-19 03:15:00+09:00,201.2881518036,180.9975332812,131.2763431457
2022-12-19 04:15:00+09:00,201.0082811755,180.5860505353,131.3264688103
2022-12-19 05:15:00+09:00,201.7034271028,181.6809173919,132.1144743891
2022-12-19 06:15:00+09:00,201.2219790835,181.2926151719,131.7999131735
2022-12-19 07:15:00+09:00,200.8834947779,180.4489895841,131.3991066447
2022-12-19 08:15:00+09:00,202.119287646,181.6195436794,131.9928268633
2022-12-19 09:15:00+09:00,201.4763172681,180.8203970703,131.5316523884
2022-12-19 10:15:00+09:00,202.6036881062,181.9487152814,132.1896911203
2022-12-19 11:15:00+09:00,202.8163488265,181.9189518982,132.2266281136
2022-12-19 12:15:00+09:00,200.178079572,178.6695018519,130.4662361644
2022-12-19 13:15:00+09:00,199.7345199023,177.6217640586,130.1439729433
2022-12-19 14:15:00+09:00,200.3490365953,178.1878035301,130.4774785956
2022-12-19 15:15:00+09:00,200.267655033,177.9427807702,130.1074598424
2022-12-19 16:15:00+09:00,200.3153256655,178.5522430619,130.1753939014
2022-12-19 17:15:00+09:00,200.3878138345,178.3937767051,129.8836687874
2022-12-19 18:15:00+09:00,201.2435036414,180.5636491295,130.3564516264
2022-12-19 19:15:00+09:00,202.0677523761,180.7137011667,130.6060277462
2022-12-19 20:15:00+09:00,202.4160797422,181.0746612369,130.944732985
2022-12-19 21:15:00+09:00,201.6484144596,180.1645395716,130.7311774896
2022-12-19 22:15:00+09:00,202.1947844376,180.704721091,131.090448959
2022-12-19 23:15:00+09:00,200.2321362078,179.5558681165,130.7444971506
2022-12-20 00:15:00+09:00,200.5067289181,180.2919885742,130.967527917
2022-12-20 01:15:00+09:00,199.6534052428,179.2571782326,130.6184732733
2022-12-20 02:15:00+09:00,197.5971935267,177.5496752079,129.6686785908
2022-12-20 03:15:00+09:00,196.519521804,176.9843513904,129.1901496756
2022-12-20 04:15:00+09:00,195.1735852819,174.8808917392,127.7197885229
2022-12-20 05:15:00+09:00,195.3182374061,175.0514200172,127.6902729834
2022-12-20 06:15:00+09:00,195.29217338,175.1529780682,127.6049211769
2022-12-20 07:15:00+09:00,194.8144172238,173.7267354511,127.0353921048
2022-12-20 08:15:00+09:00,192.6475921513,169.4607164463,125.3318506482
2022-12-20 09:15:00+09:00,192.3957882705,170.2306438076,125.3711895802
2022-12-20 10:15:00+09:00,193.7616819919,172.2773522106,126.4327992515
2022-12-20 11:15:00+09:00,195.669972803,173.8808121466,127.782250928
2022-12-20 12:15:00+09:00,197.4518794134,175.726032601,128.4517311791
2022-12-20 13:15:00+09:00,198.0750588043,176.1402990051,128.7086009373
2022-12-20 14:15:00+09:00,199.7775164474,177.9708450901,129.7503934266
2022-12-20 15:15:00+09:00,199.8756687512,177.5549395382,130.4102259456
2022-12-20 16:15:00+09:00,200.1918222755,178.2323386241,131.0308457752
2022-12-20 17:15:00+09:00,200.2713886551,178.3634023482,131.0045286045
2022-12-20 18:15:00+09:00,200.2836822855,178.1315834737,131.1338404507
2022-12-20 19:15:00+09:00,199.9888601618,177.8780290998,131.1922456793
2022-12-20 20:15:00+09:00,200.1612628797,177.7758080994,131.1429386051
2022-12-20 21:15:00+09:00,200.3301690137,178.169801084,131.3154166238
2022-12-20 22:15:00+09:00,200.3653801238,177.6670653832,131.3901796444
2022-12-20 23:15:00+09:00,199.9048162617,177.1388483124,130.9795650335
2022-12-21 00:15:00+09:00,200.7588977958,178.2835664061,131.8536463394
2022-12-21 01:15:00+09:00,200.7129520575,178.61105973,131.8156876614
2022-12-21 02:15:00+09:00,199.6218100755,178.2074856566,131.2685186291
2022-12-21 03:15:00+09:00,199.2365106893,178.0577622741,131.0453185643
2022-12-21 04:15:00+09:00,200.2721932523,179.0071581441,131.7233223013
2022-12-21 05:15:00+09:00,200.3273707324,179.0607802841,131.6296086922
2022-12-21 06:15:00+09:00,200.1874700285,178.6221699597,131.3902319511
2022-12-21 07:15:00+09:00,200.4983703405,179.1914322368,131.5982285437
2022-12-21 08:15:00+09:00,200.8929365054,179.5129947658,131.7783047996
2022-12-21 09:15:00+09:00,201.0007359541,179.5956648376,132.0642915666
2022-12-21 10:15:00+09:00,200.0688941465,178.213136816,131.3340063109
2022-12-21 11:15:00+09:00,199.5937564405,177.5213030566,131.0109602226
2022-12-21 12:15:00+09:00,198.4714265789,176.3140007584,130.432942862
2022-12-21 13:15:00+09:00,198.4505776666,176.3908816091,130.5508779683
2022-12-21 14:15:00+09:00,197.8421731436,175.5592041367,130.1453069802
2022-12-21 15:15:00+09:00,198.6755362917,176.2742379708,130.7496515835
2022-12-21 16:15:00+09:00,198.9380963363,176.5789928765,130.9088987037
2022-12-21 17:15:00+09:00,198.4712191933,176.1749470864,130.5987065461
2022-12-21 18:15:00+09:00,199.7422600546,177.4502813945,131.1954023763
2022-12-21 19:15:00+09:00,199.6283922204,177.2669634901,131.310763156
2022-12-21 20:15:00+09:00,199.5857674782,177.2958954168,131.4637463901
2022-12-21 21:15:00+09:00,199.8887636839,177.2724541124,131.4993452785
2022-12-21 22:15:00+09:00,199.8018472454,177.2050230945,131.4330803333
2022-12-21 23:15:00+09:00,199.6151548785,176.7456674321,131.2280201779
2022-12-22 00:15:00+09:00,199.5071979379,176.7200776428,130.7982733887
2022-12-22 01:15:00+09:00,200.1821616706,177.1072712335,131.1028796329
2022-12-22 02:15:00+09:00,199.1493803348,175.9520163221,130.6657529761
2022-12-22 03:15:00+09:00,199.2456857746,175.954983215,131.0139895958
2022-12-22 04:15:00+09:00,198.7575520426,175.241661215,131.2025968023
2022-12-22 05:15:00+09:00,197.5649165498,173.9026575261,130.5765600773
2022-12-22 06:15:00+09:00,197.8341337583,174.5277694504,130.6288764333
2022-12-22 07:15:00+09:00,197.5273298911,175.1816794354,130.4991075855
2022-12-22 08:15:00+09:00,197.4916786772,175.5578921957,130.5581423202
2022-12-22 09:15:00+09:00,198.3601786332,175.8399506845,131.066144006
2022-12-22 10:15:00+09:00,199.5658233471,177.407828843,131.7317762664
2022-12-22 11:15:00+09:00,198.9949056453,177.2487403033,131.4381098507
2022-12-22 12:15:00+09:00,199.3168757004,177.1731729023,131.4117774937
2022-12-22 13:15:00+09:00,199.11866562,177.0141909834,131.1359367301
2022-12-22 14:15:00+09:00,198.7662872855,176.2398173685,130.8681054122
2022-12-22 15:15:00+09:00,198.3427992198,175.6153862743,130.4332396535
2022-12-22 16:15:00+09:00,197.6159577324,174.740688734,130.0427911194
2022-12-22 17:15:00+09:00,197.9969481894,175.8219320152,130.5956134939
2022-12-22 18:15:00+09:00,198.4745490892,177.0172887275,131.0926242895
2022-12-22 19:15:00+09:00,198.9751047695,178.1337023687,131.3871550321
2022-12-22 20:15:00+09:00,198.549569738,177.8942241724,131.1209633634
2022-12-22 21:15:00+09:00,198.7453186934,177.6091118526,131.2780480092
2022-12-22 22:15:00+09:00,198.1665674307,177.2188312386,130.9489415206
2022-12-22 23:15:00+09:00,196.8492449581,176.3076499794,130.0699074185
2022-12-23 00:15:00+09:00,194.1447355699,173.8085548697,128.6340113209
2022-12-23 01:15:00+09:00,194.1935359775,173.771083033,128.3101068168
2022-12-23 02:15:00+09:00,194.9092612376,173.9896696044,128.5105093858
2022-12-23 03:15:00+09:00,194.0199300784,173.1204017277,127.7249965444
2022-12-23 04:15:00+09:00,194.1276100727,173.4405555952,127.7398227485
2022-12-23 05:15:00+09:00,194.9279638372,174.5578224833,128.1947734839
2022-12-23 06:15:00+09:00,197.0746323592,176.6839234807,129.5324451069
2022-12-23 07:15:00+09:00,197.9066611646,178.022033894,130.4735611215
2022-12-23 08:15:00+09:00,198.543854127,178.3107292796,130.8726237576
2022-12-23 09:15:00+09:00,198.6929265788,178.359438901,131.0985008842
2022-12-23 10:15:00+09:00,198.5025373718,177.8761213523,131.0006685385
2022-12-23 11:15:00+09:00,199.0242052783,178.3312817307,131.5207651949
2022-12-23 12:15:00+09:00,200.3754328994,179.5853945908,132.2608585431
2022-12-23 13:15:00+09:00,199.751003079,179.4419844204,131.9913039203
2022-12-23 14:15:00+09:00,199.4491000788,179.3247416297,131.7347518158
2022-12-23 15:15:00+09:00,199.1269419291,178.8551639653,131.4026560353
2022-12-23 16:15:00+09:00,199.1075851518,178.6038950835,131.4264566825
2022-12-23 17:15:00+09:00,199.141727681,177.898337041,130.8747355316
2022-12-23 18:15:00+09:00,199.400769051,178.407785226,131.1460873728
2022-12-23 19:15:00+09:00,199.448871076,178.2908873795,130.9586154084
2022-12-23 20:15:00+09:00,199.8898846657,178.8060599642,131.1309346246
2022-12-23 21:15:00+09:00,200.0002530499,179.0705965982,131.0704353489
2022-12-23 22:15:00+09:00,200.3579579965,178.8464792184,131.1864661278
2022-12-23 23:15:00+09:00,199.5516392176,178.6097901713,130.9259213006
2022-12-24 00:15:00+09:00,198.6950399847,178.0957874442,130.612942738
2022-12-24 01:15:00+09:00,199.0649679145,178.5862753481,130.9987437564
2022-12-24 02:15:00+09:00,198.9958991666,178.6939914424,130.7932615967
2022-12-24 03:15:00+09:00,199.0315994227,180.4521488812,130.8989579086
2022-12-24 04:15:00+09:00,199.2072863076,179.8320671937,130.82226856
2022-12-24 05:15:00+09:00,199.4907065667,180.6235041862,130.8875424287
2022-12-24 06:15:00+09:00,198.9076548232,179.9079326492,130.4153644971
2022-12-24 07:15:00+09:00,199.0888198991,180.6233820955,130.5141024557
2022-12-24 08:15:00+09:00,198.7190001828,180.5936076469,130.5222380624
2022-12-24 09:15:00+09:00,199.1051891488,180.181658616,130.6664225437
2022-12-24 10:15:00+09:00,199.0636043854,180.707579054,130.526115058
2022-12-24 11:15:00+09:00,198.6749539905,180.2322115993,130.4413035377
2022-12-24 12:15:00+09:00,198.9059683428,180.6875745821,130.5728729154
2022-12-24 13:15:00+09:00,199.2074594283,180.9947234206,130.7509389345
2022-12-24 14:15:00+09:00,199.1596749163,180.5779595616,130.6152255633
2022-12-24 15:15:00+09:00,198.6820315308,179.7020487686,130.2397035399
2022-12-24 16:15:00+09:00,198.6109854941,179.7251937461,130.2595460078
2022-12-24 17:15:00+09:00,198.6700120511,179.8842041459,130.3834430455
2022-12-24 18:15:00+09:00,198.1808500425,179.0133480905,130.0608325577
2022-12-24 19:15:00+09:00,198.1879342395,178.8380328164,129.8706730164
2022-12-24 20:15:00+09:00,198.7363709793,178.6355667147,129.9015895139
2022-12-24 21:15:00+09:00,198.6175221798,178.8114633664,129.964711673
2022-12-24 22:15:00+09:00,198.8730990538,178.9127090279,130.0976387927
2022-12-24 23:15:00+09:00,198.8247136713,178.7547343238,130.0788425562
2022-12-25 00:15:00+09:00,198.7632265662,178.9646793648,130.0087402645
2022-12-25 01:15:00+09:00,198.6375400025,178.6359701205,129.8498097381
2022-12-25 02:15:00+09:00,198.8152318199,178.8817137832,129.8918147774
2022-12-25 03:15:00+09:00,198.878654952,179.1085117351,129.9300407813
2022-12-25 04:15:00+09:00,198.8951940231,179.1544986643,129.9893936776
2022-12-25 05:15:00+09:00,198.8566061055,179.2211699028,130.1324945083
2022-12-25 06:15:00+09:00,198.6952772133,179.0795201634,130.0360029489
2022-12-25 07:15:00+09:00,198.3208803792,178.7642134803,129.8335892288
2022-12-25 08:15:00+09:00,198.1322988289,178.7072177925,129.7167833739
2022-12-25 09:15:00+09:00,198.5102872343,178.7794864849,129.9008654394
2022-12-25 10:15:00+09:00,198.8437751849,179.1368245253,129.9616957107
2022-12-25 11:15:00+09:00,198.8084798255,178.9517401824,129.7037541101
2022-12-25 12:15:00+09:00,198.5086661669,178.710737433,129.7175117676
2022-12-25 13:15:00+09:00,198.4656689117,178.9782102225,129.6621108421
2022-12-25 14:15:00+09:00,198.1781953374,178.6043245605,129.2896315041
2022-12-25 15:15:00+09:00,197.7869646876,178.1016162167,129.1587216131
2022-12-25 16:15:00+09:00,197.9483871273,178.0565789504,129.3040016598
2022-12-25 17:15:00+09:00,197.746885869,177.9847692456,129.4240207599
2022-12-25 18:15:00+09:00,197.5876407265,177.8756028074,129.8252056482
2022-12-25 19:12:00+09:00,197.5526466084,177.6545485687,129.432066222
